,ID,Created,Closed,Time To Close (hours),Number of Changed Files,Title,Labels,Labels#,Is Merged,Time to Merge (hours),Base,Descriptions,Open/Closed,Author Name,Updated at,Commits
0,6314,2022-09-24 14:40:20,2023-01-30 11:02:27,3068.368611111111,1,Snyk fixes,[],0,False,,master,True,closed,Pedro,2023-01-30 11:02:45,2
1,6310,2022-06-21 21:15:38,,,1,Bump numpy from 1.11.0 to 1.22.0,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:35,1
2,6309,2022-06-17 21:14:28,2022-06-21 21:15:41,96.02027777777778,1,Bump numpy from 1.11.0 to 1.21.0,['dependencies'],1,False,,master,True,closed,,2022-06-21 21:15:42,1
3,6301,2021-06-01 22:00:57,,,1,Bump urllib3 from 1.18 to 1.26.5,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:36,1
4,6300,2021-05-08 16:51:14,,,1,Bump eventlet from 0.19.0 to 0.31.0,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:38,1
5,6299,2021-03-25 21:45:39,,,1,Bump pyyaml from 3.11 to 5.4,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:39,1
6,6295,2020-12-23 01:40:05,,,1,"docs: fix simple typo, plaform -> platform",[],0,False,,master,True,open,Tim Gates,2020-12-23 01:40:05,1
7,6285,2019-11-11 22:09:22,,,1,Bump requests from 2.10.0 to 2.20.0,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:40,1
8,6284,2019-11-11 22:09:20,2021-03-25 21:45:42,11999.60611111111,1,Bump pyyaml from 3.11 to 5.1,['dependencies'],1,False,,master,True,closed,,2021-03-25 21:45:43,1
9,6283,2019-11-11 22:09:20,2021-06-01 22:01:00,13631.861111111111,1,Bump urllib3 from 1.18 to 1.24.2,['dependencies'],1,False,,master,True,closed,,2021-06-01 22:01:01,1
10,6282,2019-10-21 15:40:31,,,1,Bump flask from 0.11.1 to 1.0,['dependencies'],1,False,,master,True,open,,2023-02-02 14:23:41,1
11,6280,2019-05-11 03:07:11,,,1,Update README.md,[],0,False,,master,True,open,Yash Raj Bharti,2019-05-11 03:07:45,1
12,6273,2018-02-26 11:27:44,2018-02-27 09:23:00,21.92111111111111,1,Draco Meteor for Dragonite,[],0,True,21.92111111111111,dev,True,closed,Szymon,2018-02-27 09:23:00,1
13,6271,2018-02-22 08:51:39,2018-02-22 16:53:09,8.025,3,Never Release Shiny Pokemon,[],0,True,8.025,dev,True,closed,Szymon,2018-02-22 16:53:09,3
14,6270,2018-02-20 13:29:54,2018-02-21 12:12:39,22.7125,1,Add Moves for Castform,[],0,True,22.7125,dev,True,closed,,2018-02-21 12:12:39,9
15,6269,2018-02-14 01:07:58,2018-02-19 00:04:39,118.94472222222223,1,Dev to Master,[],0,True,118.94472222222223,master,True,closed,Jason Hawks,2018-02-19 00:04:39,6
16,6268,2018-02-12 12:50:57,2018-02-14 01:06:14,36.25472222222222,1,Castform attacks update,[],0,True,36.25472222222222,dev,True,closed,Szymon,2018-02-14 01:06:14,1
17,6265,2018-01-28 09:54:53,2018-01-28 11:03:16,1.1397222222222223,1,Loudred attack update,[],0,True,1.1397222222222223,dev,True,closed,Szymon,2018-01-28 11:03:16,1
18,6264,2018-01-23 14:33:50,2018-01-23 14:34:04,0.0038888888888888888,0,update master,[],0,False,,dev,True,closed,Jason Hawks,2018-01-23 14:34:04,7
19,6263,2018-01-23 08:34:09,2018-01-23 14:32:01,5.964444444444444,1,Surfing Pikachu,[],0,True,5.964444444444444,dev,True,closed,Szymon,2018-01-23 14:32:02,1
20,6262,2018-01-07 23:32:43,2018-01-08 01:32:32,1.9969444444444444,15,Update to 0.87 and fixes,[],0,True,1.9969444444444444,master,True,closed,Jhero,2018-01-08 01:32:32,34
21,6261,2017-12-22 13:29:31,2017-12-23 03:20:02,13.841944444444444,6,Incenses cleanup and Star Piece,[],0,True,13.841944444444444,dev,True,closed,Szymon,2017-12-23 03:20:02,3
22,6260,2017-12-22 13:21:01,2017-12-22 13:23:46,0.04583333333333333,6,Incenses cleanup and Star Piece,[],0,False,,dev,True,closed,Szymon,2017-12-22 13:23:46,2
23,6259,2017-12-22 12:40:18,2017-12-22 13:18:55,0.6436111111111111,6,Incenses cleanup and Star Piece,[],0,False,,dev,True,closed,Szymon,2017-12-22 13:18:55,2
24,6258,2017-12-22 02:50:53,2017-12-22 05:54:14,3.055833333333333,3,Changes from 12-12 Gamemaster,[],0,True,3.055833333333333,dev,True,closed,,2017-12-22 05:54:14,4
25,6257,2017-12-21 03:48:13,2017-12-21 21:30:21,17.702222222222222,1,Killswitch update,[],0,True,17.702222222222222,dev,True,closed,,2017-12-21 21:30:21,2
26,6256,2017-12-19 09:33:26,2017-12-20 06:52:13,21.313055555555554,1,Blaziken's charged move updated,[],0,True,21.313055555555554,dev,True,closed,Szymon,2017-12-20 06:52:13,1
27,6254,2017-12-09 07:16:03,2017-12-09 07:35:11,0.3188888888888889,1,Ho oh nerf,[],0,True,0.3188888888888889,dev,True,closed,,2017-12-09 07:35:11,2
28,6253,2017-12-09 03:50:54,2017-12-09 06:12:37,2.3619444444444446,5,Gen 3 Update,[],0,True,2.3619444444444446,dev,True,closed,,2017-12-09 06:12:37,5
29,6252,2017-12-06 03:14:32,2017-12-07 07:40:53,28.439166666666665,1,Hash documentation,[],0,True,28.439166666666665,dev,True,closed,,2017-12-07 07:40:53,2
30,6251,2017-12-01 01:37:55,2017-12-01 02:10:45,0.5472222222222223,1,Killswitch Update (0.83.0),[],0,True,0.5472222222222223,dev,True,closed,,2017-12-01 02:10:45,2
31,6249,2017-11-12 04:07:23,2017-11-12 05:28:33,1.3527777777777779,3,Gym and shadowban fixes,[],0,True,1.3527777777777779,dev,True,closed,,2017-11-12 05:28:33,4
32,6247,2017-11-08 21:03:29,2017-11-08 21:09:28,0.09972222222222223,15,Fix protos,[],0,True,0.09972222222222223,master,True,closed,Jason Hawks,2017-11-08 21:09:28,12
33,6246,2017-11-08 08:55:50,2017-11-08 09:13:17,0.29083333333333333,14,New protos fixes,[],0,True,0.29083333333333333,dev,True,closed,,2017-11-08 09:13:17,9
34,6245,2017-11-07 03:03:04,2017-11-07 04:40:34,1.625,26,Compatibility update,[],0,False,,dev,True,closed,,2017-11-08 08:38:59,10
35,6243,2017-10-26 16:56:49,2017-10-27 07:48:18,14.858055555555556,1,Update README.md,[],0,True,14.858055555555556,dev,True,closed,,2017-10-27 07:48:18,1
36,6241,2017-10-26 07:33:06,2017-10-26 07:44:05,0.18305555555555555,4,Master Update and Map,[],0,True,0.18305555555555555,master,True,closed,Jason Hawks,2017-10-26 07:44:05,9
37,6240,2017-10-25 05:31:58,2017-10-26 07:31:54,25.99888888888889,1,Multi bot fixes,[],0,True,25.99888888888889,dev,True,closed,,2017-10-26 07:31:54,3
38,6238,2017-10-24 05:24:40,2017-10-25 05:47:57,24.388055555555557,1,updated web to gen3,[],0,True,24.388055555555557,dev,True,closed,Jason Hawks,2017-10-25 05:47:57,1
39,6237,2017-10-24 02:45:56,2017-10-24 03:41:09,0.9202777777777778,2,Minor fixes,[],0,True,0.9202777777777778,dev,True,closed,,2017-10-24 03:41:09,2
40,6236,2017-10-23 07:12:25,2017-10-23 07:49:56,0.6252777777777778,11,Bring us up to date,[],0,True,0.6252777777777778,master,True,closed,Jason Hawks,2017-10-23 07:49:56,34
41,6233,2017-10-22 00:39:39,2017-10-22 00:54:02,0.23972222222222223,1,Message update,[],0,True,0.23972222222222223,dev,True,closed,,2017-10-22 00:54:02,2
42,6232,2017-10-20 07:19:21,2017-10-20 22:40:04,15.345277777777778,5,Gen3 Support & minor fixes,[],0,True,15.345277777777778,dev,True,closed,,2017-10-20 22:40:04,13
43,6231,2017-10-19 06:37:14,2017-10-20 03:18:24,20.68611111111111,1,Multibot,[],0,False,,dev,True,closed,,2017-10-20 03:18:24,4
44,6227,2017-10-16 20:58:39,2017-10-16 23:29:33,2.515,1,bugfix,[],0,True,2.515,dev,True,closed,,2017-10-17 07:03:58,1
45,6225,2017-10-14 13:54:13,2017-10-14 15:13:31,1.3216666666666668,1,bug fix,[],0,True,1.3216666666666668,dev,True,closed,,2017-10-14 15:13:31,1
46,6224,2017-10-14 06:11:04,2017-10-14 06:58:48,0.7955555555555556,1,Multibot fix,[],0,True,0.7955555555555556,dev,True,closed,,2017-10-19 01:54:25,2
47,6223,2017-10-14 02:10:43,2017-10-14 06:59:11,4.807777777777778,1,Warning update,[],0,True,4.807777777777778,dev,True,closed,,2017-10-19 01:54:43,2
48,6221,2017-10-11 09:24:22,2017-10-11 09:59:26,0.5844444444444444,4,Super incubator,[],0,True,0.5844444444444444,dev,True,closed,,2017-10-19 01:54:59,4
49,6220,2017-10-11 09:09:53,2017-10-11 09:58:48,0.8152777777777778,4,Captcha Bug Fixes,[],0,True,0.8152777777777778,dev,True,closed,,2017-10-19 01:55:23,4
50,6219,2017-10-11 05:28:08,2017-10-11 09:58:52,4.512222222222222,2,Update Installation Guide,[],0,True,4.512222222222222,dev,True,closed,,2017-10-11 09:58:52,2
51,6218,2017-10-11 03:20:26,2017-10-11 05:38:56,2.308333333333333,3,Dev to master,[],0,True,2.308333333333333,master,True,closed,Jason Hawks,2017-10-11 05:38:56,7
52,6217,2017-10-11 02:51:31,2017-10-11 03:18:44,0.45361111111111113,2,Pogo API Repo Change,[],0,True,0.45361111111111113,dev,True,closed,,2017-10-11 03:18:44,3
