,Total Change
data/pokemon.json,181897
configs/config.json.example,13841
data/charged_moves.json,24211
data/fast_moves.json,20180
data/items.json,296
docs/configuration_files.md,11167
killswitch.json,94
pokemongo_bot/__init__.py,18712
pokemongo_bot/cell_workers/gym_pokemon.py,8021
pokemongo_bot/cell_workers/pokemon_hunter.py,4618
pokemongo_bot/cell_workers/update_live_inventory.py,892
pokemongo_bot/cell_workers/use_incense.py,1288
pokemongo_bot/item_list.py,482
tests/inventory_test.py,2353
tests/nickname_test.py,847
configs/config.json.hunter.example,271
pokecli.py,9072
pokemongo_bot/cell_workers/catch_pokemon.py,2791
pokemongo_bot/cell_workers/complete_tutorial.py,1479
pokemongo_bot/cell_workers/incubate_eggs.py,2316
pokemongo_bot/cell_workers/migrations/shadowban_log.py,20
pokemongo_bot/cell_workers/spin_fort.py,2144
pokemongo_bot/inventory.py,8549
README.md,7051
MultiBot.py,3053
web,157
runMultiBot.sh,234
pokemongo_bot/api_wrapper.py,2464
docs/installation.md,2690
docs/manual_installation.md,1321
pokemongo_bot/event_handlers/captcha_handler.py,638
requirements.txt,476
run.sh,484
CHANGELOG.md,11252
configs/MultiBotConfig.json.example,102
configs/auth.json.example,145
docs/pokemon_optimizer.md,10489
pokemongo_bot/cell_workers/pokemon_catch_worker.py,13127
pokemongo_bot/cell_workers/pokemon_optimizer.py,12511
pokemongo_bot/cell_workers/sniper.py,5572
pokemongo_bot/event_handlers/telegram_handler.py,12986
pokemongo_bot/cell_workers/buddy_pokemon.py,1896
pokemongo_bot/cell_workers/utils.py,1377
setup.sh,1231
windows_bat/PokemonGo-Bot-Configurator.bat,1956
pokemongo_bot/cell_workers/move_to_fort.py,1187
windows_bat/PokemonGo-Bot-MultiBot-Start.bat,405
configs/MultiBotConfigAccounts.txt.example,6
configs/MultiBotConfigHashkey.txt.example,10
configs/MultiBotConfigProxy.txt.example,10
configs/config.json.map.example,5915
pokemongo_bot/cell_workers/catch_limiter.py,1012
pokemongo_bot/event_manager.py,1093
configs/hashkey.txt,8
configs/proxy.txt,8
configs/accounts.txt.example,0
configs/MultiBotConfig.json,30
configs/accounts.txt,4
.gitignore,560
Dockerfile,1621
pokemongo_bot/cell_workers/heal_pokemon.py,1591
windows_bat/PokemonGo-Bot-Install.bat,4592
windows_bat/PokemonGo-Bot-Updater.bat,612
pokemongo_bot/cell_workers/__init__.py,644
pokemongo_bot/event_handlers/logging_handler.py,1064
